<<<<<<< HEAD
0101011010101111101100000 21.4651894327
0101010000110001110001001 22.7924781476
0011010011101011111001101 23.7113360552
0011110011101111111001111 23.8605377017
1000011110110111001101000 24.5137667774
1111111111111111101111111 25.7903619833
0101010000110001110001001 25.8194625609
1011101101011011001011011 28.8406403985
1001011110101011000101110 27.6829109594
0101010000110001110001001 27.768935107
1110001110010110110101000 32.0069318956
1011101111011111001011111 28.406347769
0101011010101111100110101 27.559037078
1110100000110001010111001 29.7300418692
1110100010001101001001111 31.3554640363
=======
1001010110101111010110110 2.27891733844
1001011110101011000101110 2.44769662714
0101010000110001110001001 3.57251164804
0001110001101001001010111 3.85477731109
1111011010111111110110111 4.38382135223
1011101101011011001011011 4.9085376922
0101011010101111100110101 5.20724603293
0110101001010000101001001 6.12641943796
0011010011101011111001101 8.09302680917
1000011110110111001101000 7.49201369652
0001000001001100100110000 8.56873949884
1011001010011011110100111 11.9361573471
0011010011101011111001101 8.08651556203
0101111111001100100110000 8.19329895209
1110100000110001010111001 9.47484122887
>>>>>>> c650f161004520f9bb0f1deafbdba82a8808edef
