201 - 0000100000001000110100100: And cross with 0010110000001010110111110 (108) and 1101100111011001110100100 (107)
202 - 1001101101010010100110101: Single point cross with 1001101101010010100100100 (106) and 0110010001111101100110101 (102)
203 - 1111110110011101100101111: Random point cross with 1111110110011101100101111 (114) and 1101100111011001110100100 (107) 
204 - 1111110110011101100010010: Single point cross with 1111110110011101100101111 (114) and 1111100001000000001010010 (105)
205 - 0001101101011100110111100: Random point cross with 0001101101011100110111100 (113) and 0001101101011100110111100 (113) 
206 - 1111100101001001010110100: Double point cross with 1111100101001001010010100 (112) and 0110010001111101100110101 (102)
207 - 0101110111010000000101011: Random point cross with 0101110111010000000101011 (104) and 0010110000001010110111110 (108) 
208 - 0010010111101001111110011: Random point cross with 0010010111101001111110011 (110) and 1101100111011001110100100 (107) 
209 - 0010010111101001111110101: Single point cross with 0010010111101001111110011 (110) and 0111000100011011111001101 (101)
210 - 1111010111111000001010010: Single point cross with 1111010111111110010100001 (103) and 1111100001000000001010010 (105)
